class_id,class_name,split,image_path,label_path,x_center,y_center,width,height
0,aloo_gobi,valid,data/food_dataset/valid/images/valid2282-aloo_gobi.jpg,data/food_dataset/valid/labels/valid2282-aloo_gobi.txt,0.5,0.5,1.0,1.0
0,aloo_gobi,valid,data/food_dataset/valid/images/valid3233-aloo_gobi.jpg,data/food_dataset/valid/labels/valid3233-aloo_gobi.txt,0.5,0.5,1.0,1.0
0,aloo_gobi,valid,data/food_dataset/valid/images/valid3893-aloo_gobi.jpg,data/food_dataset/valid/labels/valid3893-aloo_gobi.txt,0.509365,0.501687,0.98127,0.996626
0,aloo_gobi,valid,data/food_dataset/valid/images/valid5391-aloo_gobi.jpg,data/food_dataset/valid/labels/valid5391-aloo_gobi.txt,0.499499,0.5,0.998999,1.0
1,aloo_masala,valid,data/food_dataset/valid/images/valid0496-aloo_masala.jpg,data/food_dataset/valid/labels/valid0496-aloo_masala.txt,0.5,0.5,1.0,1.0
1,aloo_masala,valid,data/food_dataset/valid/images/valid1506-aloo_masala.jpg,data/food_dataset/valid/labels/valid1506-aloo_masala.txt,0.5,0.5,1.0,1.0
1,aloo_masala,valid,data/food_dataset/valid/images/valid3922-aloo_masala.jpg,data/food_dataset/valid/labels/valid3922-aloo_masala.txt,0.5,0.5,1.0,1.0
1,aloo_masala,valid,data/food_dataset/valid/images/valid5838-aloo_masala.jpg,data/food_dataset/valid/labels/valid5838-aloo_masala.txt,0.5,0.5,1.0,1.0
2,appam,valid,data/food_dataset/valid/images/valid0315-appam.jpg,data/food_dataset/valid/labels/valid0315-appam.txt,0.871336,1.0,0.921969,0.918125
2,appam,valid,data/food_dataset/valid/images/valid3732-appam.jpg,data/food_dataset/valid/labels/valid3732-appam.txt,0.505469,0.504687,0.989062,0.990625
2,appam,valid,data/food_dataset/valid/images/valid4979-appam.jpg,data/food_dataset/valid/labels/valid4979-appam.txt,0.4875,0.491406,0.942187,0.882812
2,appam,valid,data/food_dataset/valid/images/valid5550-appam.jpg,data/food_dataset/valid/labels/valid5550-appam.txt,0.869991,0.98787,0.998647,0.854073
3,beetroot_poriyal,valid,data/food_dataset/valid/images/valid2139-beetroot_poriyal.jpg,data/food_dataset/valid/labels/valid2139-beetroot_poriyal.txt,0.449596,0.96924,0.852226,0.754149
3,beetroot_poriyal,valid,data/food_dataset/valid/images/valid4058-beetroot_poriyal.jpg,data/food_dataset/valid/labels/valid4058-beetroot_poriyal.txt,0.524219,0.457031,0.951562,0.736719
3,beetroot_poriyal,valid,data/food_dataset/valid/images/valid5149-beetroot_poriyal.jpg,data/food_dataset/valid/labels/valid5149-beetroot_poriyal.txt,0.874587,0.94683,1.0,0.722683
